Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
80L,295579,Top 20%,1,10,1,1,1,1,39.6240680077266,39.6240680077266,0.0,278.2023116,0.305818453,5.08239928952042,0.0362088187494509,-0.4084038223241552,0.7598091835943328,20.0
80L,295579,Top 20%,1,20,2,2,2,2,39.4481434867559,39.4481434867559,0.0,277.8838596,0.325753934,7.60286399866785,0.0322832523935841,0.3439418321026311,0.8561050278903649,20.0
80L,295579,Top 20%,1,30,3,3,3,3,36.9241458180687,36.9241458180687,0.0,273.6733333,0.456872815,10.6808427397868,0.026050444507532,0.5735731650174837,0.7061680967814603,20.0
80L,295579,Top 20%,1,40,4,4,4,4,35.9205010046848,35.9205010046848,0.0,272.2698992,0.763635312,14.0213937277975,0.019722542436148,0.4070305710890403,0.4553711734162966,20.0
80L,295579,Top 20%,1,50,5,5,5,5,31.663107123826,31.663107123826,0.0,276.9216012,1.146143349,17.7817603796625,0.0172249556955875,0.2370697135915416,0.3245087632535226,99.034338
80L,295579,Top 20%,1,60,6,6,6,6,30.6367762217189,30.6367762217189,0.0,278.73429,1.425959862,22.0091684835701,0.0241963559733086,0.0976447385709342,0.276760711757024,199.583099
400L,295579,Top 20%,1,0,0,0,0,7,56.6194791180976,,0.0,292.4913721,0.314838072,4.16330934724689,0.1403975961039244,-0.5371172133246581,0.2033822852261872,0.0
400L,295579,Top 20%,1,10,1,1,1,8,57.5338082550678,57.5338082550678,0.0,289.0478459,0.35748884,5.53634453818827,0.0123647478761863,-0.2087914452080639,0.3827955345475869,0.0
400L,295579,Top 20%,1,20,2,2,2,9,58.4481373365305,58.4481373365305,0.0,285.6043197,0.400139609,6.90937972912966,0.0128728244472818,0.0436562638185064,0.502091701145897,0.0
400L,295579,Top 20%,1,30,3,3,3,10,57.1440539865449,57.1440539865449,0.0,292.3525942,0.585398671,9.14100301953819,0.0343678990589769,0.1831618230153601,0.4376802261099918,0.0
400L,295579,Top 20%,1,40,4,4,4,11,56.0288847443326,56.0288847443326,0.0,282.5404653,0.765485669,11.9354498556838,0.0298896988655472,0.2542459756484592,0.3955359074526459,0.0
400L,295579,Top 20%,1,50,5,5,5,12,53.5338234641088,53.5338234641088,0.0,282.064876,0.886808771,15.6069681172291,0.0130716049337782,0.3153616635810277,0.3840576753892866,0.0
400L,295579,Top 20%,1,60,6,6,6,13,50.3415492018028,50.3415492018028,0.0,282.8913223,1.608044567,18.7349430728241,0.0581406522429651,0.225338408418685,0.2298713415032526,121.556826
2000L,295579,Top 20%,1,0,0,0,7,14,62.0926114034503,,0.0,296.4940867,0.455332134,3.78391714031971,0.1759365258450894,-0.0632077579500878,0.6920715004616248,546.719968
2000L,295579,Top 20%,1,10,1,1,8,15,63.0528987100068,63.0528987100068,0.0,293.3403417,0.656575589,6.8513661634103,0.0226327328540204,0.0910560481449679,0.5208970024045007,0.0
2000L,295579,Top 20%,1,20,2,2,9,16,60.9163413375074,60.9163413375074,0.0,295.2293292,0.909851097,10.690150366341,0.0052201919802987,0.1513783072730839,0.3931501481373734,0.0
2000L,295579,Top 20%,1,30,3,3,10,17,58.798844501432,58.798844501432,0.0,296.3296703,1.181051097,14.2616525088809,0.0326876458062175,0.1736242391908148,0.3066945251777455,0.0
2000L,295579,Top 20%,1,40,4,4,11,18,57.7197619840582,57.7197619840582,0.0,293.6071429,1.441060056,17.4554665297513,0.0503558121380214,0.1816491374082234,0.2467278793769965,39.562074
2000L,295579,Top 20%,1,50,5,5,12,19,54.438348092764,54.438348092764,0.0,292.2678571,1.711730447,21.39541651865,0.0398773840059066,0.1798509650659091,0.1972807418133269,2097.652805
2000L,295579,Top 20%,1,60,6,6,13,20,50.9186311085947,50.9186311085947,0.0,298.7146814,2.183153686,24.4221221247779,0.0192370296640205,0.1572616121637137,0.1413767566959992,8927.060118
CL G,295579,Top 20%,1,0,0,7,14,21,64.722070871911,64.722070871911,0.0,306.6494484934233,1.5400613768555844,13.406524382421852,0.0231763008750775,0.0678994233617688,0.2025667791616265,0.0
